date,campaign_id,campaign_name,impressions,clicks,cost_usd
2024-11-17,101,Brand - Search,114466,6662,887.02
2024-11-18,101,Brand - Search,78301,3502,559.43
2024-11-19,101,Brand - Search,74232,1809,609.71
2024-11-20,101,Brand - Search,102033,2477,816.71
2024-11-21,101,Brand - Search,58050,2260,578.07
2024-11-22,101,Brand - Search,58746,2470,582.64
2024-11-23,101,Brand - Search,72705,2764,547.76
2024-11-24,101,Brand - Search,78841,2074,656.22
2024-11-25,101,Brand - Search,75575,3165,858.22
2024-11-26,101,Brand - Search,79766,3824,888.83
2024-11-27,101,Brand - Search,133705,4533,893.11
2024-11-28,101,Brand - Search,109095,4907,747.4
2024-11-29,101,Brand - Search,109559,2352,850.42
2024-11-30,101,Brand - Search,89896,3483,630.55
2024-12-01,101,Brand - Search,67640,1784,667.43
2024-12-02,101,Brand - Search,82411,4556,765.38
2024-12-03,101,Brand - Search,71235,1687,504.48
2024-12-04,101,Brand - Search,92995,4613,829.86
2024-12-05,101,Brand - Search,61443,3559,674.48
2024-12-06,101,Brand - Search,71693,3144,754.37
2024-12-07,101,Brand - Search,62057,2718,573.88
2024-12-08,101,Brand - Search,64873,1797,740.94
2024-12-09,101,Brand - Search,78684,4271,677.55
2024-12-10,101,Brand - Search,99452,3459,726.96
2024-12-11,101,Brand - Search,56236,1180,564.75
2024-12-12,101,Brand - Search,79459,4265,638.31
2024-12-13,101,Brand - Search,75620,3788,584.38
2024-12-14,101,Brand - Search,114218,4933,774.69
2024-12-15,101,Brand - Search,78943,1593,671.43
2024-12-16,101,Brand - Search,56047,1965,489.28
2024-12-17,101,Brand - Search,56880,2597,542.76
2024-12-18,101,Brand - Search,75904,3856,704.46
2024-12-19,101,Brand - Search,72253,3407,508.72
2024-12-20,101,Brand - Search,84936,4889,661.39
2024-12-21,101,Brand - Search,96295,4630,759.53
2024-12-22,101,Brand - Search,123516,3850,868.29
2024-12-23,101,Brand - Search,49308,1704,495.82
2024-12-24,101,Brand - Search,66048,3799,589.66
2024-12-25,101,Brand - Search,60334,3217,565.43
2024-12-26,101,Brand - Search,56637,2380,541.12
2024-12-27,101,Brand - Search,113284,3425,807.28
2024-12-28,101,Brand - Search,97582,2462,883.58
2024-12-29,101,Brand - Search,61144,3208,552.76
2024-12-30,101,Brand - Search,49063,2554,515.24
2024-12-31,101,Brand - Search,78002,1735,829.8
2025-01-01,101,Brand - Search,51463,1131,379.59
2025-01-02,101,Brand - Search,31672,1394,352.19
2025-01-03,101,Brand - Search,23794,990,266.68
2025-01-04,101,Brand - Search,36136,866,440.67
2025-01-05,101,Brand - Search,39100,1157,285.34
2025-01-06,101,Brand - Search,33011,1791,299.95
2025-01-07,101,Brand - Search,34094,1329,301.67
2025-01-08,101,Brand - Search,38633,2016,347.39
2025-01-09,101,Brand - Search,32852,829,284.91
2025-01-10,101,Brand - Search,46631,2794,424.9
2025-01-11,101,Brand - Search,35971,2050,381.52
2025-01-12,101,Brand - Search,37960,1921,304.45
2025-01-13,101,Brand - Search,24594,911,264.77
2025-01-14,101,Brand - Search,32471,1000,317.99
2025-01-15,101,Brand - Search,47350,1815,318.41
2025-01-16,101,Brand - Search,33035,911,338.7
2025-01-17,101,Brand - Search,42159,2337,296.91
2025-01-18,101,Brand - Search,30048,1298,278.84
2025-01-19,101,Brand - Search,33746,758,358.63
2025-01-20,101,Brand - Search,36466,1309,409.32
2025-01-21,101,Brand - Search,51465,1869,402.16
2025-01-22,101,Brand - Search,61288,2402,409.88
2025-01-23,101,Brand - Search,49815,1769,427.74
2025-01-24,101,Brand - Search,60256,1531,449.54
2025-01-25,101,Brand - Search,37935,1510,356.05
2025-01-26,101,Brand - Search,41530,1829,400.79
2025-01-27,101,Brand - Search,32518,1806,292.9
2025-01-28,101,Brand - Search,41831,1302,396.87
2025-01-29,101,Brand - Search,41784,2486,368.95
2025-01-30,101,Brand - Search,44054,1294,304.97
2025-01-31,101,Brand - Search,57680,1589,410.31
2025-02-01,101,Brand - Search,43572,1589,335.77
2025-02-02,101,Brand - Search,35523,1401,265.64
2025-02-03,101,Brand - Search,23547,961,281.7
2025-02-04,101,Brand - Search,41651,1095,304.18
2025-02-05,101,Brand - Search,35403,1299,246.65
2025-02-06,101,Brand - Search,50512,2790,421.21
2025-02-07,101,Brand - Search,37700,1174,438.87
2025-02-08,101,Brand - Search,41358,1976,281.42
2025-02-09,101,Brand - Search,64984,3357,436.23
2025-02-10,101,Brand - Search,62059,2753,425.49
2025-02-11,101,Brand - Search,61380,2385,414.13
2025-02-12,101,Brand - Search,36507,811,288.42
2025-02-13,101,Brand - Search,32735,1708,307.75
2025-02-14,101,Brand - Search,25449,821,248.23
2025-02-15,101,Brand - Search,53877,2113,381.37
2025-02-16,101,Brand - Search,45923,1841,419.19
2025-02-17,101,Brand - Search,29072,1616,310.18
2025-02-18,101,Brand - Search,36430,1513,368.82
2025-02-19,101,Brand - Search,27056,1295,327.64
2025-02-20,101,Brand - Search,52010,1347,424.19
2025-02-21,101,Brand - Search,31168,835,330.7
2025-02-22,101,Brand - Search,43470,2335,304.59
2025-02-23,101,Brand - Search,59247,1440,408.7
2025-02-24,101,Brand - Search,23988,483,288.89
2025-02-25,101,Brand - Search,40932,1744,376.92
2025-02-26,101,Brand - Search,42463,1264,424.37
2025-02-27,101,Brand - Search,33877,1932,414.47
2025-02-28,101,Brand - Search,25984,745,315.58
2025-03-01,101,Brand - Search,45236,1005,325.12
2025-03-02,101,Brand - Search,39125,1111,317.97
2025-03-03,101,Brand - Search,52833,1955,391.24
2025-03-04,101,Brand - Search,49278,1243,494.13
2025-03-05,101,Brand - Search,44626,1110,321.77
2025-03-06,101,Brand - Search,29528,1206,324.51
2025-03-07,101,Brand - Search,55396,2483,483.44
2025-03-08,101,Brand - Search,57283,2528,433.62
2025-03-09,101,Brand - Search,36220,2163,349.89
2025-03-10,101,Brand - Search,53641,1442,420.97
2025-03-11,101,Brand - Search,61874,1633,480.17
2025-03-12,101,Brand - Search,59113,2000,549.38
2025-03-13,101,Brand - Search,69423,3716,480.72
2025-03-14,101,Brand - Search,37755,1488,450.52
2025-03-15,101,Brand - Search,64546,1812,465.82
2025-03-16,101,Brand - Search,53125,2524,425.41
2025-03-17,101,Brand - Search,44672,1096,316.12
2025-03-18,101,Brand - Search,73972,3292,526.64
2025-03-19,101,Brand - Search,46495,1652,445.05
2025-03-20,101,Brand - Search,68595,2647,544.21
2025-03-21,101,Brand - Search,59494,3416,397.54
2025-03-22,101,Brand - Search,78893,2703,544.86
2025-03-23,101,Brand - Search,66831,3777,521.37
2025-03-24,101,Brand - Search,68568,3566,495.74
2025-03-25,101,Brand - Search,58564,1348,454.84
2025-03-26,101,Brand - Search,55116,1307,404.29
2025-03-27,101,Brand - Search,48306,1835,390.07
2025-03-28,101,Brand - Search,29698,1385,322.9
2025-03-29,101,Brand - Search,54158,3047,446.87
2025-03-30,101,Brand - Search,55033,3048,547.18
2025-03-31,101,Brand - Search,55056,1323,440.43
2025-04-01,101,Brand - Search,59836,3444,408.69
2025-04-02,101,Brand - Search,40086,2340,412.28
2025-04-03,101,Brand - Search,63618,1362,434.75
2025-04-04,101,Brand - Search,45767,922,458.89
2025-04-05,101,Brand - Search,63135,2421,431.31
2025-04-06,101,Brand - Search,46376,2552,359.7
2025-04-07,101,Brand - Search,48954,2502,502.04
2025-04-08,101,Brand - Search,56866,2854,506.72
2025-04-09,101,Brand - Search,29597,1050,313.58
2025-04-10,101,Brand - Search,70231,3282,545.66
2025-04-11,101,Brand - Search,67704,1523,518.57
2025-04-12,101,Brand - Search,71561,2048,536.56
2025-04-13,101,Brand - Search,51245,1084,459.06
2025-04-14,101,Brand - Search,53408,2408,513.09
2025-04-15,101,Brand - Search,75173,3086,517.93
2025-04-16,101,Brand - Search,33960,832,420.91
2025-04-17,101,Brand - Search,45784,1880,493.32
2025-04-18,101,Brand - Search,47089,1337,347.39
2025-04-19,101,Brand - Search,56105,2803,504.92
2025-04-20,101,Brand - Search,58666,2352,397.62
2025-04-21,101,Brand - Search,44694,1437,409.89
2025-04-22,101,Brand - Search,44164,1155,479.18
2025-04-23,101,Brand - Search,52572,2755,555.2
2025-04-24,101,Brand - Search,39605,959,325.67
2025-04-25,101,Brand - Search,41153,1832,-39.798
2025-04-26,101,Brand - Search,30320,1529,305.1
2025-04-27,101,Brand - Search,67883,2924,501.81
2025-04-28,101,Brand - Search,55285,1803,500.61
2025-04-29,101,Brand - Search,55573,1406,515.59
2025-04-30,101,Brand - Search,49215,2493,552.98
2025-05-01,101,Brand - Search,50214,2257,358.45
2025-05-02,101,Brand - Search,67237,3609,550.03
2025-05-03,101,Brand - Search,61658,2241,433.25
2025-05-04,101,Brand - Search,68380,3885,545.98
2025-05-05,101,Brand - Search,33270,1865,315.22
2025-05-06,101,Brand - Search,44132,1623,373.84
2025-05-07,101,Brand - Search,25419,1006,306.65
2025-05-08,101,Brand - Search,57231,1893,402.64
2025-05-09,101,Brand - Search,30506,1111,345.16
2025-05-10,101,Brand - Search,80079,3316,560.7
2025-05-11,101,Brand - Search,54257,2697,439.43
2025-05-12,101,Brand - Search,46418,2553,318.66
2025-05-13,101,Brand - Search,44119,1818,425.73
2025-05-14,101,Brand - Search,44507,1112,435.36
2025-05-15,101,Brand - Search,70168,3227,493.11
2025-05-16,101,Brand - Search,41985,1155,379.71
2025-05-17,101,Brand - Search,53478,1824,
2025-05-18,101,Brand - Search,62219,2367,472.9
2025-05-19,101,Brand - Search,36946,1945,339.91
2025-05-20,101,Brand - Search,40933,1266,376.94
2025-05-21,101,Brand - Search,41429,1621,400.32
2025-05-22,101,Brand - Search,71336,1919,520.12
2025-05-23,101,Brand - Search,38071,1797,365.82
2025-05-24,101,Brand - Search,65191,1867,495.76
2025-05-25,101,Brand - Search,54011,2350,362.18
2025-05-26,101,Brand - Search,47387,2120,502.59
2025-05-27,101,Brand - Search,43379,1637,380.65
2025-05-28,101,Brand - Search,55536,2752,527.97
2025-05-29,101,Brand - Search,47043,2552,384.42
2025-05-30,101,Brand - Search,39859,2354,364.85
2025-05-31,101,Brand - Search,73697,3246,519.59
2025-06-01,101,Brand - Search,36109,1972,401.44
2025-06-02,101,Brand - Search,48536,2774,333.97
2025-06-03,101,Brand - Search,74211,3448,551.49
2025-06-04,101,Brand - Search,56021,2422,405.27
2025-06-05,101,Brand - Search,39133,969,437.46
2025-06-06,101,Brand - Search,43048,2070,479.82
2025-06-07,101,Brand - Search,37145,1576,417.4
2025-06-08,101,Brand - Search,76150,2278,510.09
2025-06-09,101,Brand - Search,46259,1826,406.09
2025-06-10,101,Brand - Search,37677,888,365.49
2025-06-11,101,Brand - Search,67864,1694,453.18
2025-06-12,101,Brand - Search,57501,1904,491.76
2025-06-13,101,Brand - Search,58242,1417,390.79
2025-06-14,101,Brand - Search,53794,3106,457.45
2025-06-15,101,Brand - Search,29305,1624,357.06
2025-06-16,101,Brand - Search,42239,1047,388.75
2025-06-17,101,Brand - Search,34780,1643,362.99
2025-06-18,101,Brand - Search,31661,1141,339.16
2025-06-19,101,Brand - Search,34087,2042,408.63
2025-06-20,101,Brand - Search,70407,3385,523.46
2025-06-21,101,Brand - Search,51630,2767,407.33
2025-06-22,101,Brand - Search,69685,3562,491.31
2025-06-23,101,Brand - Search,71149,3684,494.78
2025-06-24,101,Brand - Search,45065,1070,390.63
2025-06-25,101,Brand - Search,51575,1478,413.26
2025-06-26,101,Brand - Search,46949,1374,454.37
2025-06-27,101,Brand - Search,48373,1866,397.81
2025-06-28,101,Brand - Search,56398,2577,420.05
2025-06-29,101,Brand - Search,40182,835,456.5
2025-06-30,101,Brand - Search,35497,1637,401.19
2025-07-01,101,Brand - Search,69373,2619,527.09
2025-07-02,101,Brand - Search,67897,2773,522.09
2025-07-03,101,Brand - Search,42814,890,461.77
2025-07-04,101,Brand - Search,80285,3240,
2025-07-05,101,Brand - Search,61548,1475,-45.499
2025-07-06,101,Brand - Search,66730,1968,491.94
2025-07-07,101,Brand - Search,61482,3560,451.07
2025-07-08,101,Brand - Search,37326,1833,411.66
2025-07-09,101,Brand - Search,53136,1894,464.1
2025-07-10,101,Brand - Search,44969,1586,311.35
2025-07-11,101,Brand - Search,27548,1201,315.78
2025-07-12,101,Brand - Search,41822,2078,313.31
2025-07-13,101,Brand - Search,38194,1231,305.31
2025-07-14,101,Brand - Search,53151,1215,379.83
2025-07-15,101,Brand - Search,60602,1422,412.72
2025-07-16,101,Brand - Search,45332,1323,462.35
2025-07-17,101,Brand - Search,50910,1871,391.97
2025-07-18,101,Brand - Search,70775,3999,490.33
2025-07-19,101,Brand - Search,43455,1967,443.69
2025-07-20,101,Brand - Search,34112,1095,328.12
2025-07-21,101,Brand - Search,65860,2349,552.47
2025-07-22,101,Brand - Search,44206,1822,377.68
2025-07-23,101,Brand - Search,60667,3579,527.9
2025-07-24,101,Brand - Search,38885,1437,317.39
2025-07-25,101,Brand - Search,43741,2619,383.28
2025-07-26,101,Brand - Search,59451,2454,407.73
2025-07-27,101,Brand - Search,34553,813,406.21
2025-07-28,101,Brand - Search,47304,1492,529.47
2025-07-29,101,Brand - Search,34007,958,400.42
2025-07-30,101,Brand - Search,39856,1015,362.67
2025-07-31,101,Brand - Search,52193,2489,462.99
2025-08-01,101,Brand - Search,34563,1323,356.51
2025-08-02,101,Brand - Search,41928,1072,408.09
2025-08-03,101,Brand - Search,46015,1617,433.89
2025-08-04,101,Brand - Search,42802,1183,511.36
2025-08-05,101,Brand - Search,57700,1298,553.34
2025-08-06,101,Brand - Search,31021,1831,364.01
2025-08-07,101,Brand - Search,35183,846,383.93
2025-08-08,101,Brand - Search,61769,3460,518.43
2025-08-09,101,Brand - Search,44396,1816,405.28
2025-08-10,101,Brand - Search,54388,1633,468.02
2025-08-11,101,Brand - Search,65673,2779,449.25
2025-08-12,101,Brand - Search,35566,2112,418.07
2025-08-13,101,Brand - Search,24923,831,309.61
2025-08-14,101,Brand - Search,56706,3202,544.45
2025-08-15,101,Brand - Search,55397,2351,530.22
2025-08-16,101,Brand - Search,56657,2697,402.1
2025-08-17,101,Brand - Search,59266,2666,483.2
2025-08-18,101,Brand - Search,68723,2182,487.38
2025-08-19,101,Brand - Search,35857,1841,347.08
2025-08-20,101,Brand - Search,57212,2409,527.25
2025-08-21,101,Brand - Search,68429,3489,512.1
2025-08-22,101,Brand - Search,55629,1406,440.87
2025-08-23,101,Brand - Search,35749,1366,440.87
2025-08-24,101,Brand - Search,46969,2513,331.43
2025-08-25,101,Brand - Search,66447,1669,458.78
2025-08-26,101,Brand - Search,52900,2558,485.07
2025-08-27,101,Brand - Search,73351,4252,504.76
2025-08-28,101,Brand - Search,64144,2374,445.18
2025-08-29,101,Brand - Search,57659,3142,492.44
2025-08-30,101,Brand - Search,45848,2474,344.38
2025-08-31,101,Brand - Search,44980,2056,491.9
2025-09-01,101,Brand - Search,47941,2829,519.84
2025-09-02,101,Brand - Search,35362,1606,385.12
2025-09-03,101,Brand - Search,37875,1407,310.38
2025-09-04,101,Brand - Search,55454,2185,551.95
2025-09-05,101,Brand - Search,34197,1556,309.63
2025-09-06,101,Brand - Search,36324,1798,349.62
2025-09-07,101,Brand - Search,40221,1042,413.29
2025-09-08,101,Brand - Search,41400,1589,308.68
2025-09-09,101,Brand - Search,32689,1590,379.47
2025-09-10,101,Brand - Search,54651,2032,530.43
2025-09-11,101,Brand - Search,55178,1959,553.49
2025-09-12,101,Brand - Search,50136,1777,411.3
2025-09-13,101,Brand - Search,73500,2290,545.97
2025-09-14,101,Brand - Search,46524,2329,325.79
2025-09-15,101,Brand - Search,50293,1364,397.49
2025-09-16,101,Brand - Search,51170,2149,394.5
2025-09-17,101,Brand - Search,55179,2040,466.01
2025-09-18,101,Brand - Search,54944,3268,428.26
2025-09-19,101,Brand - Search,52839,1715,362.71
2025-09-20,101,Brand - Search,44295,2594,439.38
2025-09-21,101,Brand - Search,49608,2626,483.89
2025-09-22,101,Brand - Search,54181,2040,458.16
2025-09-23,101,Brand - Search,56104,1597,417.83
2025-09-24,101,Brand - Search,43088,1425,341.32
2025-09-25,101,Brand - Search,34367,803,363.83
2025-09-26,101,Brand - Search,52031,2736,410.7
2025-09-27,101,Brand - Search,32526,937,387.07
2025-09-28,101,Brand - Search,36444,774,336.64
2025-09-29,101,Brand - Search,59783,3051,499.33
2025-09-30,101,Brand - Search,77081,2447,542.17
2025-10-01,101,Brand - Search,35530,1937,335.27
2025-10-02,101,Brand - Search,65654,2243,532.74
2025-10-03,101,Brand - Search,44290,1085,455.93
2025-10-04,101,Brand - Search,25499,1443,309.99
2025-10-05,101,Brand - Search,48704,2558,452.98
2025-10-06,101,Brand - Search,40851,1959,455.41
2025-10-07,101,Brand - Search,51629,3020,418.26
2025-10-08,101,Brand - Search,46197,1260,317.27
2025-10-09,101,Brand - Search,34053,1769,330.92
2025-10-10,101,Brand - Search,32163,1602,385.02
2025-10-11,101,Brand - Search,61810,3101,467.69
2025-10-12,101,Brand - Search,56564,3028,549.4
2025-10-13,101,Brand - Search,48131,1038,421.66
2025-10-14,101,Brand - Search,66606,2368,534.82
2025-10-15,101,Brand - Search,31572,1079,322.51
2025-10-16,101,Brand - Search,64190,2238,470.34
2025-10-17,101,Brand - Search,31893,1742,381.93
2025-10-18,101,Brand - Search,49329,2369,360.51
2025-10-19,101,Brand - Search,37701,944,394.08
2025-10-20,101,Brand - Search,47856,2812,
2025-10-21,101,Brand - Search,46248,2374,474.49
2025-10-22,101,Brand - Search,64090,2639,463.75
2025-10-23,101,Brand - Search,45475,1251,488.65
2025-10-24,101,Brand - Search,45926,1855,325.92
2025-10-25,101,Brand - Search,48391,1909,337.99
2025-10-26,101,Brand - Search,29475,686,348.74
2025-10-27,101,Brand - Search,47612,2549,449.68
2025-10-28,101,Brand - Search,60147,2072,506.25
2025-10-29,101,Brand - Search,68466,2679,500.29
2025-10-30,101,Brand - Search,65703,2319,479.88
2025-10-31,101,Brand - Search,42449,1601,447.25
2025-11-01,101,Brand - Search,53420,2799,601.14
2025-11-02,101,Brand - Search,92980,5205,747.24
2025-11-03,101,Brand - Search,89546,2806,824.25
2025-11-04,101,Brand - Search,99946,5829,707.2
2025-11-05,101,Brand - Search,96376,4123,887.98
2025-11-06,101,Brand - Search,59627,3044,536.86
2025-11-07,101,Brand - Search,49548,1657,555.21
2025-11-08,101,Brand - Search,51772,1224,562.71
2025-11-09,101,Brand - Search,58811,3339,647.28
2025-11-10,101,Brand - Search,40625,1235,495.36
2025-11-11,101,Brand - Search,118960,3645,849.86
2025-11-12,101,Brand - Search,67153,2055,508.98
2025-11-13,101,Brand - Search,93875,3672,867.45
2025-11-14,101,Brand - Search,76887,4353,562.71
2025-11-15,101,Brand - Search,111347,3967,832.7
2025-11-16,101,Brand - Search,42272,1756,517.75
2025-11-17,101,Brand - Search,75385,2677,820.41
2025-11-18,101,Brand - Search,83804,1922,663.76
2025-11-19,101,Brand - Search,46864,1946,507.99
2025-11-20,101,Brand - Search,98316,4024,665.64
2025-11-21,101,Brand - Search,79779,1662,857.44
2025-11-22,101,Brand - Search,93801,2245,840.41
2025-11-23,101,Brand - Search,86910,2674,724.85
2025-11-24,101,Brand - Search,117983,4510,855.05
2025-11-25,101,Brand - Search,58884,3301,585.02
2025-11-26,101,Brand - Search,79277,2089,655.18
2025-11-27,101,Brand - Search,109110,6093,734.71
2025-11-28,101,Brand - Search,63740,2751,650.92
2025-11-29,101,Brand - Search,96058,2235,721.36
2025-11-30,101,Brand - Search,116866,3144,783.28
2025-12-01,101,Brand - Search,75394,4139,660.52
2025-12-02,101,Brand - Search,44356,1477,545.08
2025-12-03,101,Brand - Search,82576,2193,852.24
2025-12-04,101,Brand - Search,64779,3098,785.16
2025-12-05,101,Brand - Search,75390,3971,681.73
2025-12-06,101,Brand - Search,73756,2268,646.53
2025-12-07,101,Brand - Search,112939,5683,829.49
2025-12-08,101,Brand - Search,56189,2238,506.44
2025-12-09,101,Brand - Search,103650,2766,700.81
2025-12-10,101,Brand - Search,99804,3561,750.94
2025-12-11,101,Brand - Search,50467,2512,595.78
2025-12-12,101,Brand - Search,68650,2202,623.48
2025-12-13,101,Brand - Search,91960,4277,626.4
2025-12-14,101,Brand - Search,94202,4884,852.69
2025-12-15,101,Brand - Search,77102,4486,843.06
2025-12-16,101,Brand - Search,64045,2291,531.84
2025-12-17,101,Brand - Search,79636,3621,785.53
2025-12-18,101,Brand - Search,65923,2895,777.19
2025-12-19,101,Brand - Search,74783,1938,708.55
2025-12-20,101,Brand - Search,70110,2696,533.51
2025-12-21,101,Brand - Search,85609,4478,856.89
2025-12-22,101,Brand - Search,55047,1274,553.99
2025-12-23,101,Brand - Search,118249,4439,836.55
2025-12-24,101,Brand - Search,86860,3305,629.14
2025-12-25,101,Brand - Search,66876,2817,560.32
2025-12-26,101,Brand - Search,105759,6338,801.5
2025-12-27,101,Brand - Search,85198,2753,581.06
2025-12-28,101,Brand - Search,90302,3523,788.07
2025-12-29,101,Brand - Search,50480,2182,504.13
2025-12-30,101,Brand - Search,58497,1910,544.32
2025-12-31,101,Brand - Search,66202,3182,704.61
2026-01-01,101,Brand - Search,26645,1570,317.76
2026-01-02,101,Brand - Search,53233,2841,402.53
2026-01-03,101,Brand - Search,24621,537,273.7
2026-01-04,101,Brand - Search,39107,1009,296.58
2026-01-05,101,Brand - Search,50108,2679,442.19
2026-01-06,101,Brand - Search,43000,1525,364.07
2026-01-07,101,Brand - Search,41548,2197,381.24
2026-01-08,101,Brand - Search,25859,1103,299.41
