send_date,campaign_name,emails_sent,opens,clicks,unsubscribes,cost_usd
2024-11-19T18:00:00Z,Flash Sale #45,78453,17279,900,107.0,96.26
2024-11-20T10:00:00Z,Win-back #46,103371,31368,1559,132.0,190.97
2024-11-22T10:00:00Z,Holiday Promo #47,132784,20713,936,119.0,156.31
2024-11-23T10:00:00Z,Win-back #48,145211,38119,1139,121.0,541.64
2024-11-25T18:00:00Z,Weekly Newsletter #49,100207,29568,1919,67.0,350.66
2024-11-26T18:00:00Z,Win-back #50,112980,31026,1834,302.0,278.78
2024-12-01T10:00:00Z,Weekly Newsletter #51,138598,30023,1888,157.0,331.16
2024-12-05T14:00:00Z,New Arrivals #52,137483,46187,1505,162.0,448.54
2024-12-11T14:00:00Z,Weekly Newsletter #53,83233,15967,755,127.0,128.43
2024-12-12T10:00:00Z,Flash Sale #54,49653,12613,511,98.0,94.97
2024-12-14T18:00:00Z,New Arrivals #55,51474,16069,656,29.0,191.46
2024-12-15T08:00:00Z,Weekly Newsletter #56,53333,15592,585,58.0,90.71
2024-12-18T10:00:00Z,Flash Sale #57,98817,32243,2448,174.0,369.84
2024-12-22T18:00:00Z,Abandoned Cart #58,146502,46765,3070,149.0,582.26
2024-12-28T08:00:00Z,New Arrivals #59,134099,28836,611,81.0,406.31
2024-12-29T14:00:00Z,Abandoned Cart #60,143205,26905,1763,331.0,530.99
2025-01-03T18:00:00Z,Weekly Newsletter #61,62502,16090,591,61.0,213.49
2025-01-04T08:00:00Z,Weekly Newsletter #62,115496,26816,914,219.0,346.27
2025-01-05T10:00:00Z,New Arrivals #63,85753,29653,1588,140.0,341.33
2025-01-11T10:00:00Z,Weekly Newsletter #64,80753,25873,971,239.0,223.46
2025-01-12T14:00:00Z,Abandoned Cart #65,97146,26577,1661,125.0,218.47
2025-01-16T18:00:00Z,Flash Sale #66,63783,15061,357,63.0,109.78
2025-01-17T18:00:00Z,New Arrivals #67,151447,37584,1425,326.0,230.52
2025-01-18T10:00:00Z,Win-back #68,22030,3722,291,63.0,87.13
2025-01-21T10:00:00Z,Holiday Promo #69,82285,26230,929,120.0,259.82
2025-01-27T10:00:00Z,Abandoned Cart #70,117176,31769,901,157.0,464.53
2025-02-01T10:00:00Z,New Arrivals #71,170891,46914,2987,277.0,476.7
2025-02-02T10:00:00Z,Holiday Promo #72,153406,48579,2975,433.0,560.61
2025-02-05T10:00:00Z,Flash Sale #73,125158,23640,1657,334.0,151.85
2025-02-06T10:00:00Z,Holiday Promo #74,95227,30909,2001,249.0,209.11
2025-02-07T18:00:00Z,Win-back #75,20673,6937,540,19.0,64.1
2025-02-08T08:00:00Z,Win-back #76,150534,48375,2970,283.0,598.66
2025-02-09T08:00:00Z,Weekly Newsletter #77,140399,44833,3139,236.0,560.79
2025-02-11T08:00:00Z,Weekly Newsletter #78,97933,28894,660,253.0,349.8
2025-02-15T14:00:00Z,Flash Sale #79,82086,14410,1029,165.0,209.66
2025-02-17T18:00:00Z,Abandoned Cart #80,174740,38013,2583,247.0,211.43
2025-02-23T18:00:00Z,New Arrivals #81,118996,33790,1433,83.0,458.55
2025-02-24T18:00:00Z,Abandoned Cart #82,140340,38621,3051,400.0,422.61
2025-02-26T10:00:00Z,Holiday Promo #83,111802,34165,910,206.0,407.95
2025-02-27T08:00:00Z,Flash Sale #84,94512,14827,335,215.0,224.44
2025-03-04T10:00:00Z,Win-back #85,175582,49396,1547,114.0,303.45
2025-03-07T08:00:00Z,Abandoned Cart #86,42735,12128,524,105.0,87.25
2025-03-09T10:00:00Z,Flash Sale #87,66353,14325,592,86.0,162.29
2025-03-14T08:00:00Z,Weekly Newsletter #88,78701,23601,767,170.0,264.69
2025-03-19T14:00:00Z,Win-back #89,27433,4128,240,40.0,93.97
2025-03-28T18:00:00Z,Flash Sale #90,127565,19169,1497,296.0,309.58
2025-03-29T08:00:00Z,Weekly Newsletter #91,166017,40124,1335,495.0,183.2
2025-03-31T10:00:00Z,Abandoned Cart #92,106019,33356,1567,54.0,355.85
2025-04-02T14:00:00Z,New Arrivals #93,71843,20441,853,115.0,99.2
2025-04-05T10:00:00Z,Weekly Newsletter #94,35020,7275,467,73.0,101.95
2025-04-12T14:00:00Z,Flash Sale #95,125470,33864,1052,137.0,425.8
2025-04-20T18:00:00Z,Abandoned Cart #96,106237,36649,916,115.0,290.7
2025-04-21T10:00:00Z,New Arrivals #97,50848,16603,800,42.0,196.03
2025-04-22T08:00:00Z,Weekly Newsletter #98,140888,33195,769,84.0,396.65
2025-04-24T18:00:00Z,Abandoned Cart #99,30712,4829,260,,113.1
2025-04-25T14:00:00Z,Weekly Newsletter #100,54242,9444,677,76.0,68.31
2025-04-26T08:00:00Z,New Arrivals #101,119646,28439,1867,147.0,175.46
2025-04-27T08:00:00Z,Win-back #102,91852,27787,1269,208.0,206.65
2025-05-03T08:00:00Z,Holiday Promo #103,69304,20237,766,52.0,207.54
2025-05-06T14:00:00Z,Abandoned Cart #104,34104,9357,478,98.0,60.28
2025-05-15T10:00:00Z,Weekly Newsletter #105,32736,6870,354,74.0,104.01
2025-05-17T08:00:00Z,Win-back #106,176068,35995,2455,465.0,359.19
2025-05-18T14:00:00Z,Holiday Promo #107,165478,50825,1247,455.0,589.26
2025-05-21T08:00:00Z,Holiday Promo #108,34498,6577,423,91.0,107.17
2025-05-27T10:00:00Z,Abandoned Cart #109,179548,62169,1966,513.0,711.37
2025-05-29T14:00:00Z,Weekly Newsletter #110,162099,31912,1564,197.0,450.55
2025-05-31T18:00:00Z,Weekly Newsletter #111,57272,9525,666,41.0,174.3
2025-06-01T18:00:00Z,Weekly Newsletter #112,171913,58800,4011,369.0,476.7
2025-06-05T18:00:00Z,New Arrivals #113,148696,26209,1753,308.0,503.73
2025-06-06T08:00:00Z,New Arrivals #114,148925,27749,1866,197.0,577.62
2025-06-10T18:00:00Z,Win-back #115,76821,13110,351,42.0,116.76
2025-06-11T08:00:00Z,New Arrivals #116,134045,25518,632,348.0,456.64
2025-06-12T08:00:00Z,Weekly Newsletter #117,141918,33889,1070,178.0,562.94
2025-06-15T08:00:00Z,Holiday Promo #118,22096,5274,420,39.0,31.94
2025-06-18T08:00:00Z,Abandoned Cart #119,44078,11861,922,114.0,170.54
2025-06-22T18:00:00Z,Holiday Promo #120,133381,23259,1001,233.0,484.92
2025-06-26T14:00:00Z,Win-back #121,31010,9945,559,49.0,40.04
2025-07-01T18:00:00Z,Win-back #122,165109,49473,3331,263.0,393.16
2025-07-05T18:00:00Z,New Arrivals #123,22463,6134,217,65.0,38.62
2025-07-07T08:00:00Z,New Arrivals #124,67945,19881,459,139.0,219.49
2025-07-08T08:00:00Z,Abandoned Cart #125,33798,9351,315,52.0,96.18
2025-07-09T08:00:00Z,Win-back #126,143000,49217,2096,392.0,156.56
2025-07-19T08:00:00Z,Flash Sale #127,124414,24975,1601,167.0,435.52
2025-07-21T08:00:00Z,Win-back #128,161243,55892,2132,193.0,173.09
2025-07-24T18:00:00Z,Abandoned Cart #129,107850,33928,1878,66.0,201.49
2025-07-25T08:00:00Z,Abandoned Cart #130,116376,31962,1713,192.0,237.61
2025-07-26T14:00:00Z,Flash Sale #131,158839,42983,2527,394.0,236.38
2025-07-31T10:00:00Z,New Arrivals #132,28892,8618,211,38.0,55.29
2025-08-01T10:00:00Z,Abandoned Cart #133,110606,18007,1060,246.0,347.06
2025-08-03T18:00:00Z,Win-back #134,64890,17462,879,99.0,126.13
2025-08-04T10:00:00Z,Abandoned Cart #135,147803,33405,1533,215.0,418.74
2025-08-09T18:00:00Z,Holiday Promo #136,42098,12805,883,84.0,97.86
2025-08-11T14:00:00Z,Flash Sale #137,52352,13176,405,150.0,85.04
2025-08-13T18:00:00Z,Flash Sale #138,47793,15215,992,,112.93
2025-08-14T10:00:00Z,Win-back #139,27059,7624,589,74.0,84.75
2025-08-17T10:00:00Z,New Arrivals #140,136049,28529,1362,282.0,265.3
2025-08-19T14:00:00Z,Flash Sale #141,143571,28789,2246,114.0,167.54
2025-08-20T10:00:00Z,Flash Sale #142,62940,16992,783,53.0,85.74
2025-08-21T18:00:00Z,Abandoned Cart #143,95808,18204,1185,168.0,257.66
2025-08-23T08:00:00Z,Holiday Promo #144,67249,16203,425,167.0,178.0
2025-08-24T08:00:00Z,Abandoned Cart #145,51429,12470,837,54.0,137.61
2025-08-30T10:00:00Z,Weekly Newsletter #146,144598,28928,2203,216.0,202.67
2025-09-05T18:00:00Z,Win-back #147,97513,20926,611,273.0,283.21
2025-09-06T14:00:00Z,Flash Sale #148,101146,29615,1480,196.0,280.28
2025-09-15T18:00:00Z,Win-back #149,58177,10524,253,54.0,76.48
2025-09-16T18:00:00Z,Holiday Promo #150,110913,37318,1925,99.0,119.58
2025-09-21T14:00:00Z,Holiday Promo #151,49326,14090,359,113.0,93.6
2025-09-22T18:00:00Z,Abandoned Cart #152,78349,21089,448,56.0,286.61
2025-09-25T08:00:00Z,Weekly Newsletter #153,111518,30514,1863,104.0,316.24
2025-09-28T14:00:00Z,New Arrivals #154,94520,18240,1038,254.0,370.87
2025-10-03T08:00:00Z,Holiday Promo #155,71273,18063,799,124.0,82.07
2025-10-08T14:00:00Z,New Arrivals #156,21384,4323,340,18.0,77.81
2025-10-12T14:00:00Z,Abandoned Cart #157,152661,43083,1550,448.0,343.66
2025-10-14T08:00:00Z,Holiday Promo #158,132089,30772,1405,279.0,269.38
2025-10-18T10:00:00Z,Win-back #159,73436,13549,329,123.0,260.65
2025-10-26T18:00:00Z,Flash Sale #160,66035,20370,1293,157.0,203.18
2025-10-27T08:00:00Z,Abandoned Cart #161,145033,31019,1773,116.0,197.66
2025-10-28T10:00:00Z,Flash Sale #162,54173,10736,823,47.0,207.25
2025-10-29T08:00:00Z,Holiday Promo #163,28535,4898,214,22.0,83.92
2025-10-31T08:00:00Z,Win-back #164,102044,15791,718,177.0,360.26
2025-11-02T08:00:00Z,Holiday Promo #165,55829,16186,538,106.0,122.38
2025-11-03T14:00:00Z,Weekly Newsletter #166,124724,30511,1248,272.0,460.54
2025-11-04T10:00:00Z,Flash Sale #167,172921,37724,2133,114.0,183.02
2025-11-05T18:00:00Z,Abandoned Cart #168,154608,36741,1761,365.0,485.48
2025-11-06T10:00:00Z,Holiday Promo #169,23882,6139,373,49.0,29.88
2025-11-08T08:00:00Z,Win-back #170,34287,5227,364,66.0,84.17
2025-11-11T08:00:00Z,Flash Sale #171,107779,23250,469,307.0,265.58
2025-11-14T10:00:00Z,Abandoned Cart #172,51699,16782,652,128.0,190.89
2025-11-16T14:00:00Z,New Arrivals #173,147636,50852,1347,371.0,474.22
2025-11-18T10:00:00Z,Win-back #174,51190,13160,829,118.0,57.16
2025-11-19T10:00:00Z,Weekly Newsletter #175,122765,18802,897,113.0,335.53
2025-11-24T18:00:00Z,Holiday Promo #176,137515,27541,592,405.0,428.49
2025-11-25T18:00:00Z,Flash Sale #177,22861,6807,436,29.0,36.67
2025-11-26T18:00:00Z,Win-back #178,54462,12792,919,50.0,132.72
2025-11-27T10:00:00Z,Holiday Promo #179,56989,9274,580,59.0,101.57
2025-11-28T08:00:00Z,Win-back #180,145531,22905,851,145.0,328.59
2025-12-02T14:00:00Z,Win-back #181,96461,26007,1235,165.0,96.63
2025-12-03T14:00:00Z,Holiday Promo #182,67874,19128,1119,83.0,214.21
2025-12-04T10:00:00Z,Weekly Newsletter #183,25985,6068,278,30.0,76.68
2025-12-06T08:00:00Z,Flash Sale #184,167066,51665,1361,,597.61
2025-12-11T10:00:00Z,Win-back #185,29615,9454,345,19.0,96.93
2025-12-14T08:00:00Z,Abandoned Cart #186,175250,34173,1854,219.0,493.42
2025-12-16T14:00:00Z,Abandoned Cart #187,58908,14889,536,175.0,77.05
2025-12-19T08:00:00Z,Abandoned Cart #188,35498,11128,330,96.0,129.93
2025-12-20T08:00:00Z,Weekly Newsletter #189,81432,14335,1000,179.0,173.76
2025-12-23T18:00:00Z,Abandoned Cart #190,170721,54250,3751,306.0,631.33
2025-12-24T18:00:00Z,Abandoned Cart #191,155722,27315,1446,353.0,443.65
2025-12-25T18:00:00Z,Weekly Newsletter #192,128278,43387,3123,64.0,380.74
2025-12-26T10:00:00Z,Weekly Newsletter #193,103486,19429,1159,131.0,230.13
2025-12-27T18:00:00Z,Weekly Newsletter #194,165982,47055,2355,117.0,299.89
2025-12-31T10:00:00Z,New Arrivals #195,99076,31918,1412,116.0,271.81
2026-01-01T14:00:00Z,Holiday Promo #196,27393,7360,151,17.0,32.16
2026-01-07T10:00:00Z,Win-back #197,169231,42551,2317,,294.57
2026-01-19T10:00:00Z,New Arrivals #198,122589,22903,1739,86.0,399.13
2026-01-30T18:00:00Z,Win-back #199,21811,3388,91,37.0,44.24
2026-01-31T08:00:00Z,Flash Sale #200,67041,11654,730,73.0,136.76
2026-02-03T18:00:00Z,New Arrivals #201,151612,32498,1728,220.0,597.87
2026-02-04T14:00:00Z,Holiday Promo #202,177115,35628,2483,280.0,486.62
2026-02-12T10:00:00Z,New Arrivals #203,112195,18829,924,107.0,223.47
2026-02-14T14:00:00Z,Abandoned Cart #204,94895,31381,2480,140.0,179.57
2026-02-17T18:00:00Z,New Arrivals #205,177862,49511,3742,501.0,292.89
2026-02-21T10:00:00Z,Abandoned Cart #206,134251,24900,1238,85.0,383.35
2026-02-26T10:00:00Z,New Arrivals #207,159783,35237,1220,412.0,342.5
2026-02-28T14:00:00Z,New Arrivals #208,167029,33858,2425,457.0,351.9
2026-03-02T18:00:00Z,Flash Sale #209,32260,8238,427,64.0,37.0
2026-03-03T18:00:00Z,New Arrivals #210,27030,5089,360,39.0,59.54
2026-03-12T08:00:00Z,New Arrivals #211,52087,15069,789,37.0,197.45
2026-03-13T08:00:00Z,New Arrivals #212,78422,27401,861,55.0,207.08
2026-03-18T18:00:00Z,Weekly Newsletter #213,79392,27403,561,118.0,284.21
2026-03-19T08:00:00Z,New Arrivals #214,54350,9060,397,108.0,129.36
2026-03-24T18:00:00Z,New Arrivals #215,138536,27423,605,313.0,220.17
2026-03-25T08:00:00Z,Win-back #216,68539,18890,861,201.0,74.71
2026-03-27T08:00:00Z,Holiday Promo #217,158155,54810,1207,401.0,306.43
2026-03-31T10:00:00Z,Weekly Newsletter #218,43793,11730,288,66.0,44.91
2026-04-02T18:00:00Z,Win-back #219,36036,6483,344,25.0,102.78
2026-04-04T18:00:00Z,Abandoned Cart #220,178594,49528,2227,526.0,596.4
2026-04-06T10:00:00Z,Win-back #221,35049,11065,811,79.0,132.51
2026-04-10T18:00:00Z,Flash Sale #222,140297,42836,1924,75.0,235.9
2026-04-12T14:00:00Z,Win-back #223,179926,38446,2400,172.0,507.25
2026-04-21T18:00:00Z,New Arrivals #224,90278,19266,956,270.0,328.95
2026-04-23T14:00:00Z,Weekly Newsletter #225,83257,14002,581,230.0,87.82
2026-04-24T10:00:00Z,Win-back #226,166186,30715,2207,356.0,166.22
2026-04-25T08:00:00Z,Abandoned Cart #227,137753,39642,1371,240.0,434.92
2026-04-27T10:00:00Z,Holiday Promo #228,66453,13542,980,127.0,164.2
2026-04-29T08:00:00Z,Weekly Newsletter #229,57875,19989,597,166.0,154.23
2026-04-30T10:00:00Z,Flash Sale #230,78840,22020,602,131.0,162.09
2026-05-01T10:00:00Z,Weekly Newsletter #231,49322,11627,748,34.0,112.06
2026-05-02T14:00:00Z,Abandoned Cart #232,102525,29507,1609,265.0,391.75
2026-05-03T14:00:00Z,Flash Sale #233,82352,19040,1087,245.0,129.48
2026-05-07T18:00:00Z,Weekly Newsletter #234,132622,32707,737,256.0,307.25
2026-05-09T18:00:00Z,Holiday Promo #235,52204,8845,360,112.0,70.44
2026-05-10T08:00:00Z,New Arrivals #236,46378,12427,627,62.0,134.47
2026-05-14T14:00:00Z,Holiday Promo #237,38311,10147,517,86.0,89.81
2026-05-16T10:00:00Z,Holiday Promo #238,144153,40206,2984,349.0,167.0
2026-05-24T18:00:00Z,Weekly Newsletter #239,60774,16111,1102,119.0,83.99
2026-05-26T18:00:00Z,Holiday Promo #240,176344,33212,1180,143.0,681.81
2026-06-02T18:00:00Z,New Arrivals #241,104309,27524,1708,265.0,284.93
2026-06-03T10:00:00Z,New Arrivals #242,168806,56343,3625,501.0,545.31
2026-06-04T10:00:00Z,Holiday Promo #243,89617,30442,2289,169.0,221.02
2026-06-09T10:00:00Z,New Arrivals #244,31110,9414,426,16.0,88.21
2026-06-10T10:00:00Z,New Arrivals #245,81152,14433,718,181.0,86.92
2026-06-11T10:00:00Z,Flash Sale #246,42207,11771,549,78.0,144.8
2026-06-14T14:00:00Z,Flash Sale #247,165845,48941,3036,113.0,520.44
2026-06-22T14:00:00Z,New Arrivals #248,68673,21569,931,141.0,132.64
2026-06-24T14:00:00Z,Flash Sale #249,32541,6332,180,44.0,98.25
2026-06-25T10:00:00Z,Flash Sale #250,120274,30362,813,210.0,400.29
2026-06-29T08:00:00Z,Flash Sale #251,130831,31801,2000,267.0,456.08
2026-07-01T10:00:00Z,Flash Sale #252,58544,15920,532,141.0,101.56
2026-07-03T08:00:00Z,Abandoned Cart #253,157390,37774,1136,436.0,309.59
2026-07-05T18:00:00Z,Weekly Newsletter #254,155339,31785,1081,367.0,163.23
2026-07-08T18:00:00Z,Win-back #255,115699,22146,707,134.0,245.4
2026-07-09T10:00:00Z,Flash Sale #256,127976,40593,1972,133.0,220.79
2026-07-10T18:00:00Z,Holiday Promo #257,106966,17653,1184,168.0,402.7
2026-07-11T08:00:00Z,Weekly Newsletter #258,122207,40688,2747,98.0,413.65
2026-07-17T10:00:00Z,New Arrivals #259,89827,21847,1544,106.0,296.17
2026-07-19T14:00:00Z,Abandoned Cart #260,96153,22946,949,137.0,249.65
